iter	Logloss
0	0.5975172123
1	0.5167281233
2	0.4432203419
3	0.378076733
4	0.3325713142
5	0.2865281314
6	0.2503438607
7	0.2115610358
8	0.1861470253
9	0.1612090032
10	0.1395744371
11	0.1218673951
12	0.1007613657
13	0.08581056216
14	0.07376066486
15	0.06226950631
16	0.05354370992
17	0.04652843123
18	0.04038597795
19	0.03404117416
20	0.03087648585
21	0.02629700639
22	0.02251665925
23	0.02076017345
24	0.01777375945
25	0.01571869344
26	0.01390436391
27	0.0126741961
28	0.01163921689
29	0.01036147226
30	0.009237689506
31	0.008079547617
32	0.007221762446
33	0.006495377356
34	0.005965907446
35	0.005391783905
36	0.004823440617
37	0.004297222506
38	0.00381471954
39	0.003401162233
40	0.003178534854
41	0.002916627584
42	0.002747897633
43	0.002538296089
44	0.002354728548
45	0.002194410114
46	0.002066426896
47	0.001896693997
48	0.001775197477
49	0.001623359829
50	0.001530001498
51	0.001455355566
52	0.001377947097
53	0.001278257921
54	0.001188235351
55	0.001152499951
56	0.001094800385
57	0.00104618588
58	0.001003684724
